query_id,doc_id,relevance
Q10,F-1097-2020,2
Q11,F-1898-2017,2
Q11,F-0441-2019,2
Q11,F-0448-2019,2
Q11,F-0434-2019,2
Q11,F-0492-2019,2
Q11,F-1899-2017,2
Q11,F-0437-2019,2
Q11,F-0151-2013,1
Q12,F-0441-2019,2
Q12,F-0448-2019,2
Q12,F-0434-2019,2
Q12,F-0492-2019,2
Q12,F-0583-2019,2
Q12,F-1284-2015,2
Q12,F-1236-2015,2
Q12,F-1290-2015,2
Q12,F-1282-2015,2
Q12,F-1228-2015,2
Q13,F-1270-2015,2
Q13,F-1261-2015,1
Q13,F-0983-2015,2
Q13,F-1054-2015,2
Q13,F-1124-2015,2
Q13,F-1284-2015,2
Q13,F-1236-2015,2
Q13,F-1290-2015,2
Q13,F-1282-2015,2
Q13,F-1228-2015,2
Q14,F-1722-2022,2
Q14,F-1613-2022,2
Q14,F-1603-2022,2
Q14,F-1671-2022,2
Q14,F-1634-2022,2
Q14,F-0921-2022,2
Q14,F-0954-2022,2
Q14,F-0920-2022,2
Q14,F-0957-2022,2
Q14,F-0922-2022,2
Q15,F-0066-2020,2
Q15,F-1583-2019,2
Q15,F-3414-2017,2
Q15,F-3446-2017,2
Q15,F-2495-2016,2
Q15,F-1085-2019,2
Q15,F-0067-2020,2
Q15,F-1094-2019,2
Q15,F-1079-2019,2
Q15,F-0064-2020,2
Q16,F-2251-2012,2
Q16,F-2242-2012,2
Q16,F-0095-2020,2
Q16,F-1027-2018,2
Q16,F-2209-2012,2
Q16,H-0205-2025,2
Q16,F-2429-2012,1
Q16,F-2435-2017,1
Q16,F-0354-2020,2
Q16,F-0647-2022,2
Q17,F-2251-2012,2
Q17,F-0282-2014,2
Q17,F-0300-2014,2
Q17,F-1027-2018,2
Q17,F-2242-2012,2
Q17,H-0558-2025,2
Q17,F-2952-2015,2
Q17,F-0264-2014,2
Q17,F-0256-2014,2
Q17,F-0234-2014,2
Q18,F-0428-2017,2
Q18,F-0657-2019,2
Q18,F-1859-2017,2
Q18,F-1898-2017,1
Q18,F-1974-2017,1
Q18,F-0510-2020,2
Q18,F-0443-2017,2
Q18,F-0511-2020,2
Q18,F-0513-2020,2
Q19,F-1517-2023,2
Q19,F-2175-2017,2
Q19,F-1139-2019,2
Q19,F-0069-2017,2
Q19,F-1916-2013,1
Q19,F-0288-2021,2
Q19,F-1389-2019,2
Q19,F-0048-2020,2
Q19,F-2406-2017,2
Q19,F-0928-2021,2
Q20,F-1239-2023,2
Q20,F-1488-2024,2
Q20,F-0801-2025,2
Q20,F-0788-2024,2
Q20,H-0659-2026,2
Q20,F-0370-2023,2
Q20,H-0004-2026,2
Q20,H-0393-2025,2
Q01,F-0291-2023,2
Q01,F-0764-2021,2
Q01,F-0765-2021,2
Q01,F-0989-2023,2
Q01,F-1247-2024,1
Q01,F-1248-2024,1
Q01,F-0919-2021,2
Q01,F-0920-2021,1
Q01,F-0926-2021,2
Q01,F-0045-2023,2
Q02,F-1248-2024,1
Q02,F-0919-2021,2
Q02,F-0920-2021,1
Q02,F-0926-2021,2
Q03,F-0919-2013,2
Q03,F-0840-2013,2
Q03,F-0838-2013,2
Q03,F-0922-2013,2
Q03,F-0921-2013,2
Q03,F-0843-2013,2
Q04,F-0856-2023,2
Q04,F-2562-2017,2
Q04,F-1075-2022,2
Q04,F-1689-2012,2
Q05,F-1319-2023,2
Q05,F-0510-2017,2
Q05,F-0011-2024,2
Q06,F-1140-2022,2
Q06,F-2304-2015,2
Q06,H-0646-2025,2
Q06,F-1991-2017,2
Q06,F-0180-2022,2
Q07,F-0300-2013,2
Q07,F-0652-2013,2
Q07,F-1368-2022,2
Q08,F-1780-2017,2
Q08,F-1783-2017,2
Q08,F-1724-2022,2
Q08,F-0421-2016,2
Q08,H-0618-2026,2
Q08,F-1781-2017,2
Q08,F-1021-2024,2
Q11,F-0220-2013,1
Q11,F-0282-2013,1
Q11,F-0240-2013,1
Q11,F-0278-2013,1
Q11,F-0277-2013,1
Q11,F-0280-2013,1
Q11,F-0235-2013,1
Q18,F-1867-2014,2
Q18,F-1848-2014,2
Q18,F-1847-2014,2
Q18,F-1797-2017,2
Q18,F-1850-2014,2
Q18,F-0512-2020,2
Q20,H-0258-2025,2
Q20,F-0321-2025,2
Q20,F-0965-2023,2
Q20,F-1391-2023,2
Q20,H-0082-2025,2
