config,query_id,query_text,ap,p@5,r@5,ndcg@5,p@10,r@10,ndcg@10
prf,Q08,metal fragments,0.6666666666666666,1.0,0.3333333333333333,1.0,1.0,0.6666666666666666,1.0
prf,Q09,foreign material,0.5,1.0,0.5,1.0,0.5,0.5,0.7104442085771869
prf,Q10,lettuce recall,0.5,1.0,0.5,0.7738931964842558,0.5,0.5,0.5244475765944385
prf,Q11,listeria,0.6666666666666666,1.0,0.3333333333333333,0.7020976466720956,1.0,0.6666666666666666,0.6603815843159473
prf,Q12,ice cream listeria,0.5,1.0,0.5,1.0,0.5,0.5,0.6489315753318465
prf,Q13,ice cream recall,0.5,1.0,0.5,1.0,0.5,0.5,0.6776743599465253
prf,Q14,cronobacter,0.5,1.0,0.5,1.0,0.5,0.5,0.6489315753318465
prf,Q15,e coli,0.6,1.0,0.5,1.0,0.6,0.6,0.727329844310522
prf,Q16,salad recall,0.5,1.0,0.5,0.7442890884191096,0.5,0.5,0.5287758723745503
prf,Q17,potato salad recall,0.5857142857142856,1.0,0.5,1.0,0.6,0.6,0.7222954974312066
prf,Q18,cheese listeria,0.6666666666666666,1.0,0.3333333333333333,1.0,1.0,0.6666666666666666,1.0
prf,Q19,mislabeling,0.5,1.0,0.5,1.0,0.5,0.5,0.6776743599465253
prf,Q20,sesame allergen,0.7692307692307693,1.0,0.38461538461538464,1.0,1.0,0.7692307692307693,1.0
full,Q01,baby formula,0.7142857142857143,1.0,0.35714285714285715,1.0,1.0,0.7142857142857143,0.8546557236450505
full,Q02,infant formula,0.7692307692307693,1.0,0.38461538461538464,1.0,1.0,0.7692307692307693,0.8925105396506825
full,Q03,milk allergy,0.5050736961451248,0.8,0.2857142857142857,0.6608397947263838,0.9,0.6428571428571429,0.7799082337019198
full,Q04,undeclared milk,0.7142857142857143,1.0,0.35714285714285715,1.0,1.0,0.7142857142857143,0.9575861412006988
full,Q05,peanut allergen,0.435515873015873,0.4,0.25,0.5531464700081437,0.5,0.625,0.6894606919419045
full,Q06,salmonella contamination,0.6666666666666666,1.0,0.3333333333333333,1.0,1.0,0.6666666666666666,1.0
full,Q07,peanut butter salmonella,0.6514069264069263,0.8,0.36363636363636365,0.7112741403342752,0.8,0.7272727272727273,0.7794415744758125
full,Q08,metal fragments,0.6666666666666666,1.0,0.3333333333333333,1.0,1.0,0.6666666666666666,1.0
full,Q09,foreign material,0.5,1.0,0.5,1.0,0.5,0.5,0.7104442085771869
full,Q10,lettuce recall,0.5,1.0,0.5,0.7738931964842558,0.5,0.5,0.5244475765944385
full,Q11,listeria,0.6666666666666666,1.0,0.3333333333333333,0.7020976466720956,1.0,0.6666666666666666,0.6603815843159473
full,Q12,ice cream listeria,0.5,1.0,0.5,1.0,0.5,0.5,0.6489315753318465
full,Q13,ice cream recall,0.5,1.0,0.5,1.0,0.5,0.5,0.6776743599465253
full,Q14,cronobacter,0.5,1.0,0.5,1.0,0.5,0.5,0.6489315753318465
full,Q15,e coli,0.6,1.0,0.5,1.0,0.6,0.6,0.727329844310522
full,Q16,salad recall,0.5,1.0,0.5,0.7442890884191096,0.5,0.5,0.5287758723745503
full,Q17,potato salad recall,0.5857142857142856,1.0,0.5,1.0,0.6,0.6,0.7222954974312066
full,Q18,cheese listeria,0.6,1.0,0.3333333333333333,1.0,0.9,0.6,0.9363792118010483
full,Q19,mislabeling,0.5,1.0,0.5,1.0,0.5,0.5,0.6776743599465253
full,Q20,sesame allergen,0.7692307692307693,1.0,0.38461538461538464,1.0,1.0,0.7692307692307693,1.0
