query_id,query_text,config,rank,doc_id,recall_number,classification,status,state,product_description,reason_for_recall
Q01,baby formula,expansion,9,F-0920-2021,F-0920-2021,Class II,Terminated,NV,Holle Goat Stage 2 Organic Follow-On Infant Milk Formula,The required pre-market notifications for these new  infant formulas have not been submitted to the FDA.  All products are not labeled as required by 21 CFR 107 .10 and 107.20 and do not bear mandatory labeling statements in English.
Q01,baby formula,expansion,10,F-0926-2021,F-0926-2021,Class II,Terminated,NV,Kendamil Organic Stage 1 First Infant Milk Formula,The required pre-market notifications for these new  infant formulas have not been submitted to the FDA.  All products are not labeled as required by 21 CFR 107 .10 and 107.20 and do not bear mandatory labeling statements in English.
Q02,infant formula,baseline,1,F-0763-2021,F-0763-2021,Class I,Terminated,CA,"Designed by Nature Cow's Milk Formula:  12 oz. plastic pouch.    Easy to Digest, Nutritionally Alive, Developed for All Life Stages.  For the Little Ones in Your Life.    UPC: 0 19962 28421 2","Products are deficient in multiple nutrients required for infant formula, and the firms contract manufacturer does not test for Cronobacter, a pathogen that can be particularly dangerous to infants and is sometimes found in powdered infant formulas."
Q02,infant formula,baseline,2,F-0764-2021,F-0764-2021,Class I,Terminated,CA,"Designed by Nature Goat's Milk Formula:    Easy to Digest, Nutritionally Alive, Developed for All Life Stages.  For the Little Ones in Your Life.","Products are deficient in multiple nutrients required for infant formula, and the firms contract manufacturer does not test for Cronobacter, a pathogen that can be particularly dangerous to infants and is sometimes found in powdered infant formulas."
Q02,infant formula,baseline,3,F-0291-2023,F-0291-2023,Class I,Terminated,NY,"By Heart Whole Nutrition Infant Formula, Net Wt. 24 oz. 680 g",Infant formula potentially contaminated with Cronobacter sakazakii
Q02,infant formula,baseline,4,F-0765-2021,F-0765-2021,Class I,Terminated,CA,"Designed by Nature Base Mix Formula:  .375 oz/11 g plastic pouch/  Easy to Digest, Nutritionally Alive, Developed for All Life Stages.  For the Little Ones in Your Life.  UPC: 0 19962 28411 3      www.designed-by-nature.com","Products are deficient in multiple nutrients required for infant formula, and the firms contract manufacturer does not test for Cronobacter, a pathogen that can be particularly dangerous to infants and is sometimes found in powdered infant formulas."
Q02,infant formula,baseline,5,F-0989-2023,F-0989-2023,Class II,Terminated,MD,TYR Anamix Early Years infant formula Net Wt. 14.1 oz (400g) UPC: 749735002186 Product is a powder packed metal cans. 6 cans per case.,Infant formula contains undeclared tyrosine
Q02,infant formula,baseline,6,F-1247-2024,F-1247-2024,Class I,Terminated,CA,"Sammy's Milk GOAT MILK TODDLER FORMULA, 25.68 oz (78g) pouch","FDA inspection and investigation of firm's website and social media pages found that Sammy's online marketing materials included misleading information that implied the product was safe for use as a sole source of nutrition for infants. Sammy's Milk has not submitted to FDA the premarket notification required for an infant formula, and the product is not manufactured in compliance with the infant formula requirements."
Q02,infant formula,baseline,7,F-1248-2024,F-1248-2024,Class I,Terminated,CA,"Sammy's Milk GOAT MILK TODDLER FORMULA, 0.64oz (18.2g) Stick Pak","FDA inspection and investigation of firm's website and social media pages found that Sammy's online marketing materials included misleading information that implied the product was safe as a sole source of nutrition for infants. Sammy's Milk has not submitted to FDA the premarket notification required for an infant formula, and the product is not manufactured in compliance with the infant formula requirements."
Q02,infant formula,baseline,8,F-0919-2021,F-0919-2021,Class II,Terminated,NV,Holle Goat Stage 1 Organic Infant Milk Formula,The required pre-market notifications for these new  infant formulas have not been submitted to the FDA.  All products are not labeled as required by 21 CFR 107 .10 and 107.20 and do not bear mandatory labeling statements in English.
Q02,infant formula,baseline,9,F-0920-2021,F-0920-2021,Class II,Terminated,NV,Holle Goat Stage 2 Organic Follow-On Infant Milk Formula,The required pre-market notifications for these new  infant formulas have not been submitted to the FDA.  All products are not labeled as required by 21 CFR 107 .10 and 107.20 and do not bear mandatory labeling statements in English.
Q02,infant formula,baseline,10,F-0926-2021,F-0926-2021,Class II,Terminated,NV,Kendamil Organic Stage 1 First Infant Milk Formula,The required pre-market notifications for these new  infant formulas have not been submitted to the FDA.  All products are not labeled as required by 21 CFR 107 .10 and 107.20 and do not bear mandatory labeling statements in English.
Q03,milk allergy,baseline,1,F-703-2014,F-703-2014,Class II,Terminated,CA,"Allergy Research Group Sugar Balance Formula,  dietary Supplement, Hypoallergenic, 90 vegetarian capsules.    Formulated exclusively for:  Allergy Research Group;  Alameda, CA 94502.",Firm was notified by their contract manufacturer that a voluntary recall had been issued  by the raw material supplier because certain cellulase enzymes have been found to be contaminated with Chloramphenicol.
Q03,milk allergy,baseline,2,F-0919-2013,F-0919-2013,Class I,Terminated,CA,"Tzatziki; Greek yogurt with cucumber and dill.  sold in 8 oz retail and 5 lb bulk food service containers.  Undeclared milk.  Manufactured by Haigs Delicacies, Hayward, CA.","State of CA inspection found four products that do not declare allergy statements which reflect the use of milk, wheat and eggs."
Q03,milk allergy,baseline,3,F-0842-2013,F-0842-2013,Class II,Terminated,IN,"#226 Cook's Delight Lobster Base, Net Weight 30 Pounds; 5 Pounds, Packed by Integrative Flavors, Michigan City, Indian","The ingredient label did not identify the source of butter and cream ingredient as milk, an allergen.  Consumers with a milk allergy run the risk of serious or life-threatening allergic reaction if they consume these products."
Q03,milk allergy,baseline,4,F-0841-2013,F-0841-2013,Class II,Terminated,IN,"#828 Cook's Delight Shrimp Base, Net Weight 30 Pounds; 5 Pounds, Packed by Integrative Flavors, Michigan City, Indian","The ingredient label did not identify the source of butter and cream ingredient as milk, an allergen.  Consumers with a milk allergy run the risk of serious or life-threatening allergic reaction if they consume these products."
Q03,milk allergy,baseline,5,F-0839-2013,F-0839-2013,Class II,Terminated,IN,"#428N Cook's Delight Shrimp Base, Net Weight 50 Pounds (22.68 kg) Packed by Integrative Flavors, Michigan City, Indiana","The ingredient label did not identify the source of butter and cream ingredient as milk, an allergen.  Consumers with a milk allergy run the risk of serious or life-threatening allergic reaction if they consume these products."
Q03,milk allergy,baseline,6,F-0840-2013,F-0840-2013,Class II,Terminated,IN,"#272N  Cook's Delight Mushroom Base, Net Weight 50 Pounds (22.68 kg) Packed by Integrative Flavors, Michigan City, Indiana 46360","The ingredient label did not identify the source of butter and cream ingredient as milk, an allergen.  Consumers with a milk allergy run the risk of serious or life-threatening allergic reaction if they consume these products."
Q03,milk allergy,baseline,7,F-0838-2013,F-0838-2013,Class II,Terminated,IN,"#822- M  PrimarqueClam Base, Net Weight 50 Pounds (22.68 kg) Packed for Primarque Products, Worcester, MA 01610","The ingredient label did not identify the source of butter and cream ingredient as milk, an allergen.  Consumers with a milk allergy run the risk of serious or life-threatening allergic reaction if they consume these products."
Q03,milk allergy,baseline,8,F-0922-2013,F-0922-2013,Class I,Terminated,CA,"Tyropita;  a triangular phyllo dough pastry with cheese filling.  sold in 5 lb.  bulk Foodservice cases  .  Undeclared wheat, milk and eggs.  Manufactured by Haig s Delicacies, Hayward, CA.","State of CA inspection found four products that do not declare allergy statements which reflect the use of milk, wheat and eggs."
Q03,milk allergy,baseline,9,F-0921-2013,F-0921-2013,Class I,Terminated,CA,"Spanakopita; a triangular phyllo dough pastry with spinach and cheese filling.  sold in 5 lb. bulk Foodservice cases.  Undeclared wheat, milk and eggs  Manufactured by Haig's Delicacies, Hayward, CA.","State of CA inspection found four products that do not declare allergy statements which reflect the use of milk, wheat and eggs."
Q03,milk allergy,baseline,10,F-0843-2013,F-0843-2013,Class II,Terminated,IN,"#326 RS PrimarqueLobster Base, Net Weight 50 Pounds;, PackedFor Primarque Products, Worcester, MA 01610","The ingredient label did not identify the source of butter and cream ingredient as milk, an allergen.  Consumers with a milk allergy run the risk of serious or life-threatening allergic reaction if they consume these products."
Q04,undeclared milk,baseline,1,F-1536-2016,F-1536-2016,Class I,Terminated,MS,sugar free milk chocolate peanut cluster,"Candy, baked goods, and Caramel icing contain undeclared allergens. Undeclared milk and soy (soybean oil and/or soy lecithin)"
Q04,undeclared milk,baseline,2,F-1537-2016,F-1537-2016,Class I,Terminated,MS,sugar free milk chocolate cashew cluster,"Candy, baked goods, and Caramel icing contain undeclared allergens. Undeclared milk and soy (soybean oil and/or soy lecithin)"
Q04,undeclared milk,baseline,3,F-1461-2024,F-1461-2024,Class II,Terminated,CA,"Breadman Raisin Bread, plastic bag, 16oz",Undeclared milk allergen and undeclared Yellow No. 5
Q04,undeclared milk,baseline,4,F-1287-2023,F-1287-2023,Class II,Terminated,FL,"Soft Cream Spread, Net Wt 16oz (1lb)",Undeclared Milk
Q04,undeclared milk,baseline,5,F-0857-2023,F-0857-2023,Class II,Terminated,FL,Raspberry,"Undeclared Allergens: Soy, Milk and Tree Nuts"
Q04,undeclared milk,baseline,6,F-0856-2023,F-0856-2023,Class II,Terminated,FL,Pistachio,"Undeclared Allergens: Soy, Milk and Tree Nuts"
Q04,undeclared milk,baseline,7,F-2562-2017,F-2562-2017,Class II,Terminated,MA,P/C FISH STICKS 5/4 LB,Product may contain undeclared milk.
Q04,undeclared milk,baseline,8,F-1075-2022,F-1075-2022,Class II,Terminated,FL,"First & Ten, Hot Sauce, NET WT. 11.5 OZ (326g), UPC code 195893089628",Undeclared Allergen: Milk. Product label declares butter but does not list milk.
Q04,undeclared milk,baseline,9,F-1689-2012,F-1689-2012,Class I,Terminated,MI,MUFFIN CHOCOCHIPS IMPORTED BY ELCAMPEON LEAMINGTON 519-324-2616 4oz,The firm recalled 26 products for undeclared allergens. this product was recalled due to undeclared soy (soy four and soybean oil) and milk (nonfat milk).
Q04,undeclared milk,baseline,10,F-0765-2018,F-0765-2018,Class I,Terminated,PR,Pound Cake NET WT 4OZ and 12OZ.,"Undeclared allergens: wheat, soy, and milk."
Q05,peanut allergen,baseline,1,F-1327-2023,F-1327-2023,Class II,Terminated,TX,"Toffee Peanuts, Peanuts, Sugar, Salt packaged in 5 pound bags","Potential to contain undeclared tree nuts, peanuts and wheat due to allergen cross contamination."
Q05,peanut allergen,baseline,2,F-1321-2023,F-1321-2023,Class II,Terminated,TX,"Savory & Sweet Mix Honey Roasted Peanuts, Spicy Peanuts, Smoked Almonds, Toffee Peanuts, Pretzels packaged in 5 pound bags","Potential to contain undeclared tree nuts, peanuts and wheat due to allergen cross contamination."
Q05,peanut allergen,baseline,3,F-1752-2012,F-1752-2012,Class I,Terminated,KY,"Light Dry Roasted Unsalted Split Peanuts, Product Code:  400260,  packaged in 30 lb. vacuum packed plastic bags placed inside cardboard shipping boxes. The total packaging size is 2100 lbs = 70 x 30 lb boxes.","The recalling firm manufactured and distributed peanut products which contained peanuts and/or peanut butter which they received from there bulk peanut supplier, Peanut Corporation of America (PCA).  Peanuts and peanut products produced by PCA have been implicated in a recent outbreak of salmonellosis and these product may be contaminated with Salmonella Typhimurium."
Q05,peanut allergen,baseline,4,F-1751-2012,F-1751-2012,Class I,Terminated,KY,"Medium Chopped Peanut Granules,  Product Code #410016, packaged in 30 lb. vacuum packed plastic bags within cardboard shipping boxes. The total packaging size is 2100 lbs = 70 x 30 lb boxes.","The recalling firm manufactured and distributed peanut products which contained peanuts and/or peanut butter which they received from there bulk peanut supplier, Peanut Corporation of America (PCA).  Peanuts and peanut products produced by PCA have been implicated in a recent outbreak of salmonellosis and these product may be contaminated with Salmonella Typhimurium."
Q05,peanut allergen,baseline,5,F-1037-2013,F-1037-2013,Class I,Terminated,OH,Granulated Peanuts in 1 lb plastic bags.,The product is being recalled because it was manufactured using peanut products recalled by Peanut Corporation of America because it has the potential to be contaminated with Salmonella.
Q05,peanut allergen,baseline,6,F-0004-2014,F-0004-2014,Class II,Terminated,PA,"Honey Roasted Peanuts, net wt. 11 oz.., packed in a clear plastic bag.  Ingredients: peanuts, sugar, peanut and/or canola and/or cottonseed oil, honey, salt, modified potato starch, xanthan gum.     Allergen info: peanut and soy ingredients.      Also states that facility also processes products containing, milk and wheat ingredients.     Distributed by: Dutch Valley Food Distributors Inc., Myerstown, PA 17067.",Honey Roasted Peanuts were recalled due to undeclared milk (lactose) and wheat (wheat starch) allergens in the ingredient statement.
Q05,peanut allergen,baseline,7,F-1319-2023,F-1319-2023,Class II,Terminated,TX,Granulated Peanuts Roasted packaged in 5 pound bags; Virginia Peanuts Roasted NO SALT packaged in 5 pound bags; Spanish Peanuts Roasted & Salted packaged in 5 pound bags;,"Potential to contain undeclared tree nuts, peanuts and wheat due to allergen cross contamination."
Q05,peanut allergen,baseline,8,F-0510-2017,F-0510-2017,Class II,Terminated,GA,"Yeast Roll Mix, 20#",Undeclared allergen; Peanut Protein
Q05,peanut allergen,baseline,9,F-0011-2024,F-0011-2024,Class I,Terminated,CA,"Ginger Snap Milk Chocolate, 2 oz wrapped",Undeclared allergen (peanut)
Q05,peanut allergen,baseline,10,F-1044-2013,F-1044-2013,Class I,Terminated,OH,No Sugar Added Milk Chocolate Peanuts in 10 oz and 3 oz bags,The product is being recalled because it was manufactured using peanuts that were recalled by Peanut Corporation of America because of their potential to be contaminated with Salmonella.
Q06,salmonella contamination,baseline,1,F-0569-2016,F-0569-2016,Class I,Terminated,FL,Whole cucumbers,Possible contamination of Salmonella
Q06,salmonella contamination,baseline,2,H-0644-2025,H-0644-2025,Class I,Terminated,MD,"5 lbs.   Cucumber Diced 1/2""",Product is contaminated with Salmonella
Q06,salmonella contamination,baseline,3,H-0645-2025,H-0645-2025,Class I,Terminated,MD,"15 lbs. Cucumbers Diced 1/4""",Product is contaminated with Salmonella
Q06,salmonella contamination,baseline,4,F-0590-2025,F-0590-2025,Class I,Ongoing,TX,Chef Salad	11 oz  packed in clamshells,Potential to be contaminated with Salmonella
Q06,salmonella contamination,baseline,5,F-0813-2018,F-0813-2018,Class I,Terminated,NY,Zero for Him 150 count,Product may be contaminated with Salmonella.
Q06,salmonella contamination,baseline,6,F-1140-2022,F-1140-2022,Class I,Terminated,OH,Milk Peanut Butter Cups,Potential Salmonella contamination
Q06,salmonella contamination,baseline,7,F-2304-2015,F-2304-2015,Class I,Terminated,TX,Macadamia Nuts in 8 oz and 16 oz clear plastic bags.,Product may be contaminated with Salmonella
Q06,salmonella contamination,baseline,8,H-0646-2025,H-0646-2025,Class I,Terminated,MD,98 cs   Cucumber - Super 6 Ct,Product is contaminated with Salmonella
Q06,salmonella contamination,baseline,9,F-1991-2017,F-1991-2017,Class I,Terminated,MI,R&H Speedy Creme Vanilla Filling Mix   Item 01148908  25 pound bag,Products may contain Salmonella.  These products contain ingredients recalled by Valley Milk Products for potential Salmonella contamination.
Q06,salmonella contamination,baseline,10,F-0180-2022,F-0180-2022,Class I,Terminated,TX,"Onions Red Jumbo,  packaged in 25 pound bulk bags",Potential to be contaminated with Salmonella
Q07,peanut butter salmonella,baseline,1,F-1365-2022,F-1365-2022,Class I,Terminated,NY,PEANUT BUTTER CHOCOLATE FUDGE BAR - 8 oz.,made with peanut butter contaminated with Salmonella
Q07,peanut butter salmonella,baseline,2,F-0140-2013,F-0140-2013,Class I,Terminated,NM,"Peanut Butter Fudge 3 oz bag, manufactured from 6-28-12 thru 9-20-12","Peanut Butter used to product Peanut Butter Fudge was recalled by Sunland, Inc.; therefore, this product has the potential to be contaminated with Salmonella."
Q07,peanut butter salmonella,baseline,3,F-1311-2022,F-1311-2022,Class I,Terminated,WV,"Deskins Candies, Peanut Butter No Bake,16 oz., Plastic Shell, 12-16oz. packages per case.",Products were made with peanut butter contaminated with Salmonella.
Q07,peanut butter salmonella,baseline,4,F-1239-2019,F-1239-2019,Class II,Terminated,WA,Peanut Butter Cookies,Peanut Butter Cookies is recalled because the Ingredients Statement declared butter but did not declare milk.
Q07,peanut butter salmonella,baseline,5,F-1310-2022,F-1310-2022,Class I,Terminated,WV,"Deskins Candies, Peanut Butter Fudge,16 oz., Plastic Shell, 12 - 16oz. packages per case.",Products were made with peanut butter contaminated with Salmonella.
Q07,peanut butter salmonella,baseline,6,F-1369-2022,F-1369-2022,Class I,Terminated,NY,PEANUT BUTTER FUDGE BAR (24-8OZ) FUDGEAMENTALS,made with peanut butter contaminated with Salmonella
Q07,peanut butter salmonella,baseline,7,F-0300-2013,F-0300-2013,Class I,Terminated,CO,"Natural Honey Peanut Butter; 16 oz jars, UPC 855188003035; Natural Honey Peanut Butter Squeeze Packs 0.5 oz, UPC 894455000391, Natural Honey Peanut Butter Squeeze Packs 1.15 oz, UPC 855188003042.","A voluntary recall has been initiated of certain lots and sizes of Justin's Classic Peanut Butter, Organic Peanut Butter, and Natural Honey Peanut Butter in response to Sunland, Inc. voluntarily recalling their nut butter products.  These products have the potential to be contaminated with Salmonella.  On 10/04/2012, Justin's expanded the recall to include more date codes as well as certain lots o"
Q07,peanut butter salmonella,baseline,8,F-0652-2013,F-0652-2013,Class I,Terminated,MO,"Belfonte Mama's Choice Premium Ice Cream, Reverse Peanut Butter Pie, Peanut Butter Coated Fudge Filled Cups, Peanut Butter Flakes and Swirled Chocolate Cookie Pie Crust Ribbon in Peanut Butter Ice Cream, 56 oz. (1.66L) Belonite Ice Cream Company, Kansas City, MO",Products may contain peanut butter base with potentially contaminated with Salmonella.
Q07,peanut butter salmonella,baseline,9,F-0703-2021,F-0703-2021,Class II,Terminated,IL,"favorite day peanut butter monster Trail Mix, Product Number 04316.  Peanuts, peanut butter chips, raisins, M&M'S peanut butter chocolate candies, peanut butter pretzel balls,  and mini peanut butter cups.   Net Wt 14 oz. (396g), UPC 85239-15684",Trail Mixes may contain stringy pieces of flexible plastic
Q07,peanut butter salmonella,baseline,10,F-1368-2022,F-1368-2022,Class I,Terminated,NY,PEANUT BUTTER FUDGE BITES (24-8 OZ) FUDGEAMENTALS,made with peanut butter contaminated with Salmonella
Q08,metal fragments,baseline,1,F-1378-2014,F-1378-2014,Class II,Terminated,CA,"Organic Almonds:  Baugher Ranch Organics;  Certified Organic by California Organic Farmers  May Contain occasional Shell fragments.  Keep Refrigerated; 25 lbs.    Baugher Farms, Orland, CA",Potential for metal fragments in product after a single wire from metal detector was confirmed to be cut into fragments and not all pieces are accounted for.
Q08,metal fragments,baseline,2,F-0654-2021,F-0654-2021,Class II,Terminated,NY,"Wegmans brand Bagged Ice, 7lb, packaged in a clear plastic bag",Product may be contaminated with foreign objects (metal fragments).
Q08,metal fragments,baseline,3,F-1780-2017,F-1780-2017,Class II,Terminated,KY,Taco 4 Blue Corn Masa Flour 50 lb bags,The firm stated that they were notified by some of their customers that their product contains metal fragments.
Q08,metal fragments,baseline,4,F-1783-2017,F-1783-2017,Class II,Terminated,KY,Tortilla Chip 2  White Corn Masa Flour 50 lb bags,The firm stated that they were notified by some of their customers that their product contains metal fragments.
Q08,metal fragments,baseline,5,F-1004-2013,F-1004-2013,Class II,Terminated,PA,"Weight Watchers 6 Original Bagels, 15 oz packages",The firm found metal fragments in two packages of product.
Q08,metal fragments,baseline,6,F-1724-2022,F-1724-2022,Class II,Terminated,NY,"Starbucks Vanilla Espresso Triple Shot, 15 oz, 12 bottles per case.",Possible contamination by foreign material (metal fragments).
